School Name	Average Point Score	School Type
All Saints RC School	34.11	Voluntary aided school
Focus School, York Campus	30.86	Independent school
Fulford School	34.13	Community school
Applefields School	29.72	Community special school
Archbishop Holgate's School, A Church of England Academy	37.35	Academy converter - mainstream
Huntington School	31.35	Community school
Joseph Rowntree School	28.94	Voluntary controlled school
Askham Bryan College	15	Agriculture and Horticulture College
The Mount School (York)	38.89	Independent school
St Peter's School (Inc St Olaves and Clifton Pre-Prep)	43.82	Independent school
Bootham School	39.85	Independent school
York College	32.15	General Further Education College
Beverley Joint Sixth	29.94	
St Aidans and St John Fisher Associated Sixth Form	31.49	
Barnsley Academy	18.47	Sponsored academy
Barnsley College	25	General Further Education College
Penistone Grammar School	30.05	Community school
Darul Uloom Dawatul Imaan	29.72	Independent school
Dixons Allerton Academy	18.69	Sponsored academy
Dixons City Academy	24.49	Sponsored academy
Dixons McMillan Academy	29.72	Free school - mainstream
Dixons Trinity Academy	29.72	Free school - mainstream
Eternal Light Secondary School	29.72	Independent school
Feversham College	30.64	Academy converter - mainstream
Grange Technology College	16.8	Academy converter - mainstream
Appleton Academy	19.67	Sponsored academy
Hanson School	21.6	Foundation school
The Holy Family Catholic School	24.59	Voluntary aided school
Ilkley Grammar School	34.9	Academy converter - mainstream
Immanuel College	31.35	Voluntary aided school
Jaamiatul Imaam Muhammad Zakaria	42	Independent school
Laisterdyke Business and Enterprise College	18.37	Foundation school
Laisterdyke Leadership Academy	29.72	Sponsored academy
Oakbank School	26.42	Foundation school
Oakbank School	29.72	Sponsored academy
Oasis Academy Lister Park	23.18	Sponsored academy
One In A Million Free School	29.72	Free school - mainstream
Parkside School	28.79	Foundation school
Queensbury School	20.89	Foundation school
Queensbury School	29.72	Sponsored academy
Beckfoot School	32.44	Academy converter - mainstream
Beckfoot Upper Heaton	28.95	Sponsored academy
St Bede's and St Joseph's Catholic College	30.53	Voluntary aided school
Belle Vue Girls' School	24.03	Academy converter - mainstream
The Samuel Lister Academy	21.17	Sponsored academy
Bingley Grammar School	28.05	Voluntary aided school
Shipley College	15.49	General Further Education College
Titus Salt School	32.14	Community school
Tong High School	23.51	Foundation school
University Academy Keighley	20.62	Sponsored academy
Bradford Academy	20.18	Sponsored academy
Bradford College	21.82	General Further Education College
Bradford Girls' Grammar School	29.13	Free school - mainstream
Bradford Grammar School	42.06	Independent school
Bradford Studio School	15.88	Free school - studio school
Buttershaw Business & Enterprise College Academy	29.72	Sponsored academy
Buttershaw Business and Enterprise College	26.08	Foundation school
Carlton Bolling College	24.91	Community school
The Crossley Heath School	34.19	Academy converter - mainstream
The Grammar School, Hipperholme	24.21	Independent school
Lightcliffe Academy	27.37	Sponsored academy
The Maltings College	29.72	Free school - 16-19
The North Halifax Grammar School	33.81	Academy converter - mainstream
Rastrick High School	24.92	Academy converter - mainstream
Rishworth School	30.63	Independent school
Ryburn Valley High School	27.56	Academy converter - mainstream
Sowerby Bridge High School	7.37	Community school
Todmorden High School	30.5	Community school
Trinity Academy, Halifax	32.32	Sponsored academy
Brighouse High School	27.65	Academy converter - mainstream
The Brooksbank School	26.75	Academy converter - mainstream
Calder High School, A Specialist Technology College	26.49	Foundation school
Calderdale College	29.72	General Further Education College
Danum Academy	28.55	Academy converter - mainstream
De Warenne Academy	32.35	Sponsored academy
Don Valley Academy and Performing Arts College	21.87	Academy converter - mainstream
Doncaster College	20.37	General Further Education College
