School Name	Average Point Score	School Type
Northumberland College	29.72	General Further Education College
Ponteland Community High School	28.85	Community school
Prudhoe Community High School	29.5	Community school
Queen Elizabeth High School	35.89	Community school
Bede Academy	29.27	Sponsored academy
Bedlingtonshire Community High School	27.63	Community school
St Benet Biscop Catholic Academy	30.38	Academy converter - mainstream
Berwick Academy	22.08	Academy converter - mainstream
The Blyth Academy	17.32	Sponsored academy
Harton Technology College	31.89	Community school
St Joseph's Catholic Academy	26.02	Academy converter - mainstream
St Wilfrid's RC College	32.14	Voluntary aided school
South Tyneside College	29.72	General Further Education College
Whitburn Church of England Academy	29.72	Academy converter - mainstream
City of Sunderland College	23.54	General Further Education College
Grindon Hall Christian School	31.51	Free school - mainstream
St Aidan's Catholic Academy	25.51	Academy converter - mainstream
St Anthony's Girls' Catholic Academy	26.87	Academy converter - mainstream
St Robert of Newminster Roman Catholic School	29.9	Voluntary aided school
Southmoor Academy	29.48	Academy converter - mainstream
CATS College London	34.43	Independent school
Fine Arts College	35.43	Independent school
Hampstead School	23.55	Community school
Haverstock School	21.82	Community school
La Sainte Union Catholic Secondary School	28.91	Voluntary aided school
Maria Fidelis Roman Catholic Convent School FCJ	26.02	Voluntary aided school
Acland Burghley School	28.69	Community school
Parliament Hill School	30.39	Community school
Regent High School	21.38	Community school
South Hampstead High School	46.48	Independent school
The UCL Academy	29	Sponsored academy
University College School	48.96	Independent school
William Ellis School	24.58	Voluntary aided school
The WKCIC Group	22.24	General Further Education College
The Working Men's College	29.72	Specialist Designated College
The Camden School for Girls	40.37	Voluntary aided school
Central Foundation Boys' School	29.22	Voluntary aided school
City of London Academy Islington	24.65	Sponsored academy
Highbury Fields School	31.95	Community school
Highbury Grove School	23.91	Community school
North Bridge House Senior Canonbury	31.03	Independent school
St Aloysius RC College	21.64	Voluntary aided school
St Mary Magdalene Academy	36.63	Sponsored academy
Tech City College	20.69	Free school - 16-19
Chelsea Academy	30.7	Sponsored academy
Collingham	35.12	Independent school
David Game College	32.92	Independent school
Duff Miller College	33.36	Independent school
Holland Park School	40.41	Academy converter - mainstream
Ashbourne Independent School	41.82	Independent school
Kensington Aldridge Academy	29.72	Sponsored academy
Kensington and Chelsea College	29.72	General Further Education College
Lycee Francais Charles de Gaulle	44.75	Independent school
Mander Portman Woodward School	39.45	Independent school
More House School	35.12	Independent school
Queen's Gate School	42.21	Independent school
St Charles Catholic Sixth Form College	24.09	Sixth Form College
Westminster Tutors	35.47	Independent school
The Cardinal Vaughan Memorial RC School	43.27	Academy converter - mainstream
City Heights E-ACT Academy	29.72	Sponsored academy
DLD College London	37.99	Independent school
Dunraven School	33.01	Academy converter - mainstream
Durand Academy	29.72	Academy converter - mainstream
The Elmgreen School	26.29	Voluntary controlled school
Archbishop Tenison's School	22.61	Voluntary aided school
Ark Evelyn Grace Academy	27.05	Sponsored academy
King's College London Maths School	50.04	Free school - 16-19
La Retraite Roman Catholic Girls' School	30.84	Voluntary aided school
Lambeth Academy	25.35	Sponsored academy
Lambeth College	29.72	General Further Education College
Lilian Baylis Technology School	29.58	Community school
London Nautical School	24.22	Foundation school
Norwood School	24.81	Community school
St Martin in the Fields High School for Girls	27.13	Academy converter - mainstream
South Bank Engineering UTC	29.72	Free school - UTC (university technical college)
Bishop Thomas Grant Catholic Secondary School	33.67	Voluntary aided school
Streatham and Clapham High School	40.91	Independent school
Trinity Academy	29.72	Free school - mainstream
Woodmansterne School	29.72	Community school
The Charter School	37.37	Academy converter - mainstream
City of London Academy (Southwark)	26.86	Sponsored academy
Compass School Southwark	29.72	Free school - mainstream
Alleyn's School	48.41	Independent school
Dulwich College	45.5	Independent school
Harris Academy Bermondsey	23.21	Sponsored academy
Harris Academy Peckham	24.08	Sponsored academy
Ark All Saints Academy	29.72	Sponsored academy
Ark Globe Academy	31.82	Sponsored academy
Ark Walworth Academy	20.83	Sponsored academy
James Allen's Girls' School	50.86	Independent school
Kingsdale Foundation School	34.6	Academy converter - mainstream
Bacon's College	29.56	Sponsored academy
Sacred Heart Catholic School	35.97	Academy converter - mainstream
St Michael's Catholic College	29.48	Academy converter - mainstream
St Saviour's and St Olave's Church of England School	34.01	Voluntary aided school
The St Thomas the Apostle College	29.72	Voluntary aided school
Bosco Centre College	29.72	Independent school
Chestnut Grove School	30.32	Academy converter - mainstream
Emanuel School	38.25	Independent school
Ernest Bevin College	21.91	Community school
Graveney School	34.69	Academy converter - mainstream
Harris Academy Battersea	32.59	Sponsored academy
Ark Bolingbroke Academy	29.72	Free school - mainstream
Ark Putney Academy	27.5	Academy converter - mainstream
Ashcroft Technology Academy	36.05	Sponsored academy
Ibstock Place School	43.84	Independent school
Nightingale Community Academy	29.72	Sponsored special academy
Putney High School	46.72	Independent school
Saint Cecilia's Church of England School	31.78	Academy converter - mainstream
St Francis Xavier Sixth Form College	24.35	Sixth Form College
Saint John Bosco College	19.92	Voluntary aided school
South Thames College	23.18	General Further Education College
Southfields Academy	30.26	Academy converter - mainstream
Burntwood School	28.42	Academy converter - mainstream
City of Westminster College	18.6	General Further Education College
Francis Holland School	40.1	Independent school
Francis Holland School	45.56	Independent school
The Grey Coat Hospital	36.52	Academy converter - mainstream
Harris Westminster Sixth Form	39.73	Free school - 16-19
Ark King Solomon Academy	26.76	Sponsored academy
Lansdowne College	30.86	Independent school
Marylebone Boys' School	29.72	Free school - mainstream
Bales College	21.83	Independent school
Paddington Academy	31.88	Sponsored academy
Pimlico Academy	35.59	Sponsored academy
Portland Place School	36.86	Independent school
Queen's College London	43.11	Independent school
Quintin Kynaston	24.78	Academy converter - mainstream
St Augustine's CofE High School	25.15	Voluntary aided school
St George's Catholic School	29.72	Academy converter - mainstream
The St Marylebone CofE School	36.59	Academy converter - mainstream
Westminster Academy	34.85	Sponsored academy
Westminster City School	28.79	Academy converter - mainstream
Westminster School	53.15	Independent school
LaSWAP Sixth Form	28.33	
Islington Sixth Form Consortium	26.72	
City of London School	47.71	Independent school
City of London School for Girls	49.17	Independent school
All Saints Catholic School and Technology College	30.83	Voluntary aided school
Dagenham Park CofE School	27.92	Voluntary controlled school
Eastbrook School	22.69	Community school
Eastbury Community School	28.86	Community school
Elutec	20.23	Free school - UTC (university technical college)
Goresbrook School	29.72	Free school - mainstream
Greatfields School	29.72	Free school - mainstream
Jo Richardson Community School	29.66	Community school
Barking Abbey School, A Specialist Sports and Humanities College	27.11	Community school
Barking and Dagenham College	22.17	General Further Education College
Riverside School	29.72	Free school - mainstream
Robert Clack School	31.76	Community school
The Sydney Russell School	32.2	Academy converter - mainstream
The Warren School	28.15	Sponsored academy
Chislehurst and Sidcup Grammar School	35.28	Academy converter - mainstream
Cleeve Park School	21.42	Academy converter - mainstream
Erith Secondary School	25.18	Academy converter - mainstream
Haberdashers' Aske's Crayford Academy	29.72	Sponsored academy
Beths Grammar School	31.76	Academy converter - mainstream
Bexley Grammar School	36.53	Academy converter - mainstream
Bexleyheath Academy	22.57	Sponsored academy
Blackfen School for Girls	25.84	Academy converter - mainstream
Townley Grammar School	37.32	Academy converter - mainstream
Trinity Church of England School, Belvedere	22.35	Academy converter - mainstream
Welling School	25.29	Academy converter - mainstream
The Business Academy Bexley	14.86	Sponsored academy
Colfes Junior School	42.31	Independent school
Corelli College	23.5	Academy converter - mainstream
Eltham Hill School	24.71	Community school
The Greenwich Free School	29.72	Free school - mainstream
Harris Academy Greenwich	27.35	Sponsored academy
International Academy of Greenwich	29.72	Free school - mainstream
The John Roan School	25.67	Voluntary controlled school
Plumstead Manor School	24.96	Community school
Right Choice Independent Special School	29.72	Independent school
Riverston School	29.72	Independent school
Bellerbys College London	38.22	Independent school
Saint Mary Magdalene Church of England All Through School	29.72	Voluntary aided school
Shooters Hill Post-16 Campus	25.02	ACC1619
Stationers Crown Woods Academy	26.02	Academy converter - mainstream
Thomas Tallis School	31.85	Community school
Blackheath High School	37.68	Independent school
Royal Greenwich Trust School Academy	16.19	Free school - mainstream
Woolwich Polytechnic School	31.3	Academy converter - mainstream
The City Academy, Hackney	33.39	Sponsored academy
Clapton Girls' Academy	31.87	Academy converter - mainstream
Hackney New School	29.72	Free school - mainstream
Haggerston School	24.53	Community school
Lubavitch House School (Senior Girls)	29.35	Voluntary aided school
Mossbourne Community Academy	38.79	Sponsored academy
Mossbourne Victoria Park Academy	29.72	Sponsored academy
Our Lady's Convent Roman Catholic High School	29.52	Voluntary aided school
The Petchey Academy	32.61	Sponsored academy
Beis Rochel d'Satmar Girls' School	29.72	Independent school
Skinners' Academy	29.72	Sponsored academy
Stoke Newington School and Sixth Form	31.54	Community school
Tayyibah Girls' School	24.25	Independent school
The Urswick School - A Church of England Secondary School	24.41	Voluntary aided school
The Bridge Academy	27.75	Sponsored academy
The Brooke House Sixth Form College	21.34	Sixth Form College
Cardinal Pole Roman Catholic School	29.94	Voluntary aided school
The Coopers' Company and Coborn School	34.46	Academy converter - mainstream
Drapers' Academy	25.65	Sponsored academy
The Frances Bardsley Academy for Girls	28.95	Academy converter - mainstream
Havering College of Further and Higher Education	28.64	General Further Education College
Havering Sixth Form College	24.19	Sixth Form College
Sacred Heart of Mary Girls' School	31.44	Academy converter - mainstream
St Edward's Church of England School & Sixth Form College	27.64	Academy converter - mainstream
The Campion School	30.93	Academy converter - mainstream
Christ The King Sixth Form College	22.6	Sixth Form College
Forest Hill School	28.4	Community school
Haberdashers' Aske's Hatcham College	27.11	Sponsored academy
Haberdashers' Aske's Knights Academy	22.24	Sponsored academy
LeSoCo	23.33	General Further Education College
Marathon Science School	28.64	Independent school
Prendergast School	29.26	Voluntary aided school
St Dunstan's College	39.47	Independent school
Addey and Stanhope School	20.46	Voluntary aided school
Sedgehill School	20.23	Community school
Sydenham High School GDST	39.21	Independent school
Sydenham School	31.09	Community school
Chobham Academy	30.34	Sponsored academy
East London Science School	29.72	Free school - mainstream
London Academy of Excellence	42.62	Free school - 16-19
London Design and Engineering UTC	29.72	Free school - UTC (university technical college)
Newham College of Further Education	16.86	General Further Education College
Newham Sixth Form College	24.89	Sixth Form College
St Angela's Ursuline School	28.56	Voluntary aided school
St Bonaventure's RC School	28.78	Voluntary aided school
School 21	29.72	Free school - mainstream
Brampton Manor Academy	40.22	Academy converter - mainstream
Chadwell Heath Academy	28.61	Academy converter - mainstream
Forest Academy	21.12	Sponsored academy
Ark Isaac Newton Academy	29.72	Sponsored academy
Ilford County High School	35.08	Community school
King Solomon High School	29.35	Voluntary aided school
Atam Academy	29.72	Free school - mainstream
Loxford School	27.48	Academy converter - mainstream
Mayfield School	24.99	Foundation school
Bancrofts School	47.89	Independent school
Oaks Park High School	29.56	Community school
The Palmer Catholic Academy	29.45	Academy converter - mainstream
Beal High School	31.36	Academy converter - mainstream
Redbridge College	29.72	General Further Education College
Seven Kings School	35.24	Community school
Trinity Catholic High School	31.17	Voluntary aided school
The Ursuline Academy Ilford	30.54	Academy converter - mainstream
Valentines High School	30.35	Community school
Wanstead High School	29.83	Community school
Woodbridge High School	31.74	Community school
Woodford County High School	38.78	Community school
Caterham High School	21.87	Community school
Central Foundation Girls' School	28.2	Voluntary aided school
Darul Hadis Latifiah	27.39	Independent school
East London Arts & Music	28.46	Free school - 16-19
George Green's School	27.59	Voluntary controlled school
Langdon Park Community School	24.68	Community school
Madani Secondary Girls' School	29.72	Independent school
Morpeth School	29.21	Community school
Mulberry School for Girls	30.39	Community school
Oaklands School	30.17	Community school
Raine's Foundation School	25.07	Voluntary aided school
Bethnal Green Academy	28.81	Academy converter - mainstream
St Paul's Way Trust School	31.37	Foundation school
Sir John Cass Foundation and Redcoat Church of England Secondary School	29.96	Voluntary aided school
Bishop Challoner Catholic Federations of Girls School	25.12	Voluntary aided school
Stepney Green Mathematics and Computing College	27.76	Community school
Swanlea School	32	Community school
Tower Hamlets College	21.7	General Further Education College
Bow School	28.42	Community school
Canary Wharf College 3	29.72	Free school - mainstream
Sydenham and Forest Hill Sixth Form	29.81	
Southern Consortium Sixth Form	29.94	
Christ's College Finchley	25.43	Academy converter - mainstream
The Compton School	29.72	Academy converter - mainstream
Copthall School	29.47	Academy converter - mainstream
Dwight School London	27.28	Independent school
East Barnet School	33.17	Academy converter - mainstream
Finchley Catholic High School	29.42	Voluntary aided school
Hasmonean High School	40.02	Academy converter - mainstream
Hendon School	28.12	Academy converter - mainstream
The Henrietta Barnett School	50.28	Academy converter - mainstream
Ashmole Academy	33.93	Academy converter - mainstream
JCoSS	35.32	Voluntary aided school
The King Alfred School	37.3	Independent school
London Academy	23.33	Sponsored academy
Ayesha Community School	27.57	Independent school
Menorah Grammar School	32.04	Independent school
Menorah High School for Girls	29.72	Voluntary aided school
Mill Hill County High School	32.92	Academy converter - mainstream
Mill Hill School Foundation	40.31	Independent school
Barnet and Southgate College	24.02	General Further Education College
Queen Elizabeth's Girls' School	31.12	Academy converter - mainstream
Queen Elizabeth's School, Barnet	50.32	Academy converter - mainstream
St Andrew the Apostle Greek Orthodox School	29.72	Free school - mainstream
St James' Catholic High School	30.25	Voluntary aided school
St Martha's School	28.69	Independent school
St Mary's CofE High School	29.72	Voluntary aided school
St Michael's Catholic Grammar School	40.24	Voluntary aided school
Beth Jacob Grammar School for Girls	33.96	Independent school
Bishop Douglass School Finchley	29.39	Voluntary aided school
The Totteridge Academy	8.48	Academy converter - mainstream
Wentworth Tutorial College	32.15	Independent school
Whitefield School	23.35	Academy converter - mainstream
Woodhouse College	35.29	Sixth Form College
Wren Academy	32.66	Sponsored academy
Brampton College	43.24	Independent school
Chace Community School	27.18	Community school
Edmonton County School	28.28	Community school
Enfield County School	28.61	Community school
Enfield Grammar School	28.06	Academy converter - mainstream
Ark John Keats Academy	29.72	Free school - mainstream
Heron Hall Academy	29.72	Free school - mainstream
Highlands School	27.61	Community school
Kingsmead School	29.74	Academy converter - mainstream
The Latymer School	44.41	Voluntary aided school
Lea Valley High School	27.29	Community school
Aylward Academy	24.04	Sponsored academy
Nightingale Academy	16.67	Sponsored academy
Oasis Academy Enfield	27.19	Sponsored academy
Oasis Academy Hadley	24.76	Sponsored academy
St Anne's Catholic High School for Girls	27.91	Voluntary aided school
St Ignatius College	28.3	Voluntary aided school
St John's Preparatory and Senior School	35.52	Independent school
Southgate School	31.1	Community school
Bishop Stopford's School	21.84	Voluntary aided school
West Lea School	29.72	Community special school
Winchmore School	25.33	Community school
Broomfield School	25.77	Foundation school
Capel Manor College	29.72	Agriculture and Horticulture College
Channing School	47.58	Independent school
The College of Haringey, Enfield and North East London	27.73	General Further Education College
Fortismere School	38.66	Foundation school
Greig City Academy	26.71	Sponsored academy
Haringey Sixth Form Centre	27.26	ACC1619
Harris Academy Tottenham	29.72	Free school - mainstream
Highgate School	46.17	Independent school
Highgate Wood Secondary School	32.09	Community school
Hornsey School for Girls	29.16	Community school
St Thomas More Catholic School	23.19	Academy converter - mainstream
Tottenham UTC	7.62	Free school - UTC (university technical college)
Alexandra Park School	32.95	Academy converter - mainstream
Chingford Foundation School	31.08	Academy converter - mainstream
Eden Girls' School Waltham Forest	29.72	Free school - mainstream
Forest School	42.89	Independent school
Heathcote School & Science College	25.41	Community school
Highams Park School	25.15	Academy converter - mainstream
Holy Family Catholic School	29.3	Voluntary aided school
Kelmscott School	29.72	Community school
Lammas School and Sixth Form	29.72	Community school
Leyton Sixth Form College	26.63	Sixth Form College
Norlington School and 6th Form	29.72	Community school
Rushcroft Foundation School	2.31	Sponsored academy
Big Creative Academy	29.72	Free school - 16-19
Sir George Monoux College	22.89	Sixth Form College
Waltham Forest College	29.72	General Further Education College
Walthamstow Academy	32.33	Sponsored academy
Buxton School	29.72	Foundation school
Charles Darwin School	25.29	Academy converter - mainstream
Chislehurst School for Girls	27.94	Academy converter - mainstream
Coopers School	27.42	Academy converter - mainstream
Darrick Wood School	30.45	Academy converter - mainstream
Darul Uloom London	20.95	Independent school
Eltham College	43.92	Independent school
Farringtons School	28.81	Independent school
Harris Academy Orpington	29.72	Sponsored academy
Hayes School	32.77	Academy converter - mainstream
Kemnal Technology College	16.08	Academy converter - mainstream
Kings London	31.19	Independent school
Langley Park School for Boys	33.91	Academy converter - mainstream
Langley Park School for Girls	28.12	Academy converter - mainstream
London South East Colleges	8.26	General Further Education College
Babington House School	29.72	Independent school
Newstead Wood School	43.69	Academy converter - mainstream
The Priory School	20.14	Academy converter - mainstream
Ravens Wood School	30.86	Academy converter - mainstream
The Ravensbourne School	28.7	Academy converter - mainstream
St Olave's and St Saviour's Grammar School	48.03	Voluntary aided school
Bishop Challoner School	33.23	Independent school
Bishop Justus CofE School	28.17	Academy converter - mainstream
Wickham Court School	29.72	Independent school
Bromley High School	43.15	Independent school
Bullers Wood School	31.54	Academy converter - mainstream
Coloma Convent Girls' School	37	Voluntary aided school
Coulsdon Sixth Form College	23.68	Sixth Form College
Croydon College	19.6	General Further Education College
Croydon High School	40.26	Independent school
Croydon Metropolitan College	41.26	Independent school
Edenham High School	25.66	Sponsored academy
Archbishop Tenison's CofE High School	25.4	Voluntary aided school
Harris Academy Upper Norwood	29.72	Sponsored academy
Harris Federation Post 16	28.42	
Harris Invictus Academy Croydon	29.72	Free school - mainstream
John Ruskin College	20.82	Sixth Form College
Meridian High School	29.72	Sponsored academy
Norbury Manor Business and Enterprise College for Girls	26.83	Academy converter - mainstream
Oasis Academy Coulsdon	22.5	Sponsored academy
Oasis Academy Shirley Park	20.62	Sponsored academy
Old Palace of John Whitgift School	42.08	Independent school
The Quest Academy	32.5	Sponsored academy
Riddlesdown Collegiate	29.58	Academy converter - mainstream
Royal Russell School	38.66	Independent school
St Andrew's CofE Voluntary Aided High School	23.14	Voluntary aided school
St Joseph's College	24.77	Academy converter - mainstream
St Mary's Catholic High School	27.59	Voluntary aided school
Shirley High School Performing Arts College	30.14	Academy converter - mainstream
Thomas More Catholic School	25.7	Voluntary aided school
Trinity School	44.35	Independent school
Virgo Fidelis Convent Senior School	18.42	Voluntary aided school
Whitgift School	45.64	Independent school
Woodcote High School	29.45	Academy converter - mainstream
BRIT School for Performing Arts and Technology	29.7	City technology college
Cambridge Tutors College	40.42	Independent school
Chessington Community College	27.05	Community school
Coombe Boys' School	12.73	Academy converter - mainstream
Coombe Girls' School	29.39	Academy converter - mainstream
The Hollyfield School and Sixth Form Centre	27.22	Academy converter - mainstream
The Holy Cross School	31.74	Academy converter - mainstream
The Kingston Academy	29.72	Free school - mainstream
Kingston College	20.36	General Further Education College
Kingston Grammar School	45.8	Independent school
Richard Challoner School	32.85	Academy converter - mainstream
Southborough High School	29.42	Academy converter - mainstream
Surbiton High School	43	Independent school
The Tiffin Girls' School	48.72	Academy converter - mainstream
Tiffin School	44.49	Academy converter - mainstream
Tolworth Girls' School and Sixth Form	28.12	Academy converter - mainstream
King's College School	50.88	Independent school
Raynes Park High School	26.91	Community school
Ricards Lodge High School	34.57	Community school
Rutlish School	34.01	Voluntary controlled school
St Mark's Church of England Academy	17.69	Sponsored academy
Ursuline High School Wimbledon	36.37	Voluntary aided school
Wimbledon College	27.48	Voluntary aided school
Wimbledon High School	46.81	Independent school
Christ's Church of England Comprehensive Secondary School	31.06	Voluntary aided school
Grey Court School	33.75	Academy converter - mainstream
Hampton Academy	23.7	Sponsored academy
Hampton Court House	29.72	Independent school
Hampton School	46.66	Independent school
The Harrodian School	42.81	Independent school
The Lady Eleanor Holles School	49.11	Independent school
Orleans Park School	32.39	Academy converter - mainstream
Radnor House	30.5	Independent school
Richmond Adult Community College	29.72	General Further Education College
Richmond Park Academy	27.3	Sponsored academy
Richmond-upon-Thames College	22.8	General Further Education College
The Royal Ballet School	29.06	Independent school
St Catherine's School	41.73	Independent school
St Paul's School	51.77	Independent school
St Richard Reynolds Catholic High School	29.72	Voluntary aided school
Teddington School	30.65	Academy converter - mainstream
Turing House School	29.72	Free school - mainstream
Twickenham Academy	16.03	Sponsored academy
Waldegrave School	40.51	Academy converter - mainstream
Cheam High School	30.58	Academy converter - mainstream
St Nicholas Catholic High School	31.58	Voluntary aided school
Focus School - Kenley & Carshalton Campus	28.37	Independent school
Glenthorne High School	31.92	Academy converter - mainstream
Greenshaw High School	32.3	Academy converter - mainstream
The John Fisher School	32.01	Voluntary aided school
Nonsuch High School for Girls	43.5	Academy converter - mainstream
Overton Grange School	27.91	Academy converter - mainstream
St Philomena's School	35.38	Voluntary aided school
Stanley Park High School	25.84	Community school
Sutton Grammar School	44.41	Academy converter - mainstream
Sutton High School	38.13	Independent school
Wallington County Grammar School	42.6	Academy converter - mainstream
Wallington High School for Girls	43.29	Academy converter - mainstream
Wilson's School	48.02	Academy converter - mainstream
Carshalton Boys Sports College	28.71	Academy converter - mainstream
Carshalton College	29.72	General Further Education College
Carshalton High School for Girls	30.73	Academy converter - mainstream
RR6	34.25	
Claremont High School	27.79	Academy converter - mainstream
The College of North West London	14.4	General Further Education College
Convent of Jesus and Mary Language College	25.12	Academy converter - mainstream
The Crest Academies	19.71	Sponsored academy
Alperton Community School	26.85	Academy converter - mainstream
Ark Academy	29.72	Sponsored academy
Ark Elvin Academy	23.71	Sponsored academy
JFS	41.14	Voluntary aided school
Kingsbury High School	28.31	Academy converter - mainstream
Menorah High School	42.4	Independent school
Michaela Community School	29.72	Free school - mainstream
Newman Catholic College	17.27	Voluntary aided school
Preston Manor School	32.06	Academy converter - mainstream
Queens Park Community School	27.44	Academy converter - mainstream
St Gregory's Catholic Science College	27.74	Voluntary aided school
The Swaminarayan School	37.2	Independent school
Wembley High Technology College	34.69	Academy converter - mainstream
Capital City Academy	22.65	Sponsored academy
Dormers Wells High School	29.07	Community school
Drayton Manor High School	30.13	Academy converter - mainstream
Ealing Fields High School	29.72	Free school - mainstream
Ealing Independent College	29.77	Independent school
The Ellen Wilkinson School for Girls	29.5	Foundation school
Elthorne Park High School	33.47	Community school
Featherstone High School	30.49	Academy converter - mainstream
Greenford High School	32.23	Foundation school
King Fahad Academy	27.77	Independent school
Ayesha Siddiqa Girls School	29.72	Independent school
Northolt High School	22.89	Foundation school
Notting Hill and Ealing High School	47.89	Independent school
Acorn House College	28.73	Independent school
Acton High School	27.05	Community school
St Augustine's Priory	40.35	Independent school
St Benedict's School	39.43	Independent school
Twyford Church of England High School	39.38	Academy converter - mainstream
Villiers High School	25.96	Foundation school
William Perkin Church of England High School	29.72	Free school - mainstream
Brentside High School	28.6	Foundation school
Alec Reed Academy	17.04	Sponsored academy
The Cardinal Wiseman Catholic School	31.11	Voluntary aided school
Chelsea Independent College	28.79	Independent school
Ealing, Hammersmith and West London College	17.98	General Further Education College
Fulham Boys School	29.72	Free school - mainstream
Fulham College Boys' School	29.72	Academy converter - mainstream
The Godolphin and Latymer School	50.34	Independent school
Hammersmith Academy	23.66	Sponsored academy
Ark Burlington Danes Academy	30.53	Sponsored academy
Lady Margaret School	36.86	Academy converter - mainstream
Latymer Upper School	49.56	Independent school
The London Oratory School	40.19	Academy converter - mainstream
Phoenix High School	29.72	Sponsored academy
Phoenix High School	17.59	Foundation school
Sacred Heart High School	33.62	Academy converter - mainstream
St James Senior Girls' School	43.42	Independent school
St Paul's Girls' School	54.52	Independent school
TBAP 16-19 Academic AP Academy	29.72	Free school - 16-19
West London Free School	29.72	Free school - mainstream
William Morris Sixth Form	25.49	Community school
Harrow College	19.56	General Further Education College
Harrow High School	25.06	Academy converter - mainstream
Harrow School	46.24	Independent school
Hatch End High School	27.29	Academy converter - mainstream
The John Lyon School	38.47	Independent school
Khalsa College London	29.72	Independent school
Avanti House School	29.72	Free school - mainstream
North London Collegiate School	51.03	Independent school
Nower Hill High School	32.72	Academy converter - mainstream
Park High School	27.85	Academy converter - mainstream
Pinner High School	29.72	Free school - mainstream
Regent College	30.89	Independent school
Rooks Heath College	25.84	Academy converter - mainstream
St Dominic's Sixth Form College	36.62	Sixth Form College
Bentley Wood High School	30.11	Academy converter - mainstream
Salvatorian Roman Catholic College	29.72	Academy converter - mainstream
Stanmore College	20.76	General Further Education College
Whitmore High School	30.8	Community school
Canons High School	25.78	Academy converter - mainstream
De Salis Studio College	27.86	Free school - studio school
The Douay Martyrs Catholic School	25.34	Academy converter - mainstream
Abbotsfield School	30.48	Foundation school
Guru Nanak Sikh Academy	27.02	Academy converter - mainstream
The Harefield Academy	27.68	Sponsored academy
Harlington School	27.4	Foundation school
Haydon School	29	Academy converter - mainstream
Heathrow Aviation Engineering UTC	14.55	Free school - UTC (university technical college)
Hewens College	21.8	Academy converter - mainstream
Meadow High School	29.72	Community special school
Barnhill Community High School	21.42	Academy converter - mainstream
Northwood College for Girls	37.86	Independent school
Northwood School	30	Academy converter - mainstream
Parkside Studio College	29.72	Free school - studio school
Pield Heath House RC School	29.72	Non-maintained special school
Queensmead School	32.33	Academy converter - mainstream
Rosedale College	21.86	Academy converter - mainstream
Ruislip High School	29.8	Academy converter - mainstream
St Helen's School	43.71	Independent school
Stockley Academy	25.06	Sponsored academy
Bishop Ramsey Church of England School	31.86	Academy converter - mainstream
Swakeleys School for Girls	30.9	Academy converter - mainstream
Bishopshalt School	29.03	Academy converter - mainstream
Uxbridge College	25.02	General Further Education College
Uxbridge High School	26.19	Academy converter - mainstream
Vyners School	32.25	Academy converter - mainstream
Chiswick School	32.05	Academy converter - mainstream
Cranford Community College	26.08	Academy converter - mainstream
The Eden School (SDA)	29.72	Independent school
Feltham Community College	28.37	Academy converter - mainstream
The Green School	30.71	Academy converter - mainstream
Gumley House RC Convent School, FCJ	31.42	Academy converter - mainstream
Gunnersbury Catholic School	30.25	Voluntary aided school
The Heathland School	29.88	Community school
Heston Community School	29.58	Academy converter - mainstream
Arts Educational School	34.73	Independent school
Isleworth and Syon School for Boys	29.66	Academy converter - mainstream
Kingsley Academy	26.84	Sponsored academy
Lampton Academy	31.07	Academy converter - mainstream
Logic Studio School	29.72	Free school - studio school
Nishkam School West London	29.72	Free school - mainstream
Reach Academy Feltham	29.72	Free school - mainstream
Rivers Academy West London	32.25	Academy converter - mainstream
St Mark's Catholic School	37.16	Academy converter - mainstream
Space Studio West London	29.72	Free school - studio school
West Thames College	24.51	General Further Education College
Brentford School for Girls	26.59	Academy converter - mainstream
Harrow Collegiate	29.11	3104027
Easthampstead Park Community School	24.34	Community school
Edgbarrow School	34.84	Community school
Garth Hill College	28.21	Community school
Heathfield School	40.83	Independent school
LVS Ascot	33.61	Independent school
Ranelagh School	32.39	Academy converter - mainstream
Sandhurst School	24.92	Community school
Wellington College	47.19	Independent school
Bracknell and Wokingham College	24.54	General Further Education College
The Brakenhale School	29.72	Sponsored academy
The Brakenhale School	20.13	Community school
The Chalfonts Community College	25.26	Academy converter - mainstream
Chesham Grammar School	40.78	Academy converter - mainstream
Chiltern Hills Academy	21.15	Sponsored academy
The Cottesloe School	25.39	Foundation school
Cressex Community School	29.72	Foundation school
Dr Challoner's Grammar School	43.33	Academy converter - mainstream
Dr Challoner's High School	43.05	Academy converter - mainstream
Amersham and Wycombe College	18.67	General Further Education College
Amersham School	22.09	Academy converter - mainstream
The E-Act Burnham Park Academy	8.65	Sponsored academy
Focus School - Stoke Poges Campus	28.62	Independent school
The Grange School	23.8	Foundation school
Great Marlow School	29.84	Academy converter - mainstream
Highcrest Academy	21.55	Academy converter - mainstream
Holmer Green Senior School	24.16	Academy converter - mainstream
John Colet School	25.93	Academy converter - mainstream
John Hampden Grammar School	38.55	Academy converter - mainstream
Khalsa Secondary Academy	29.72	Free school - mainstream
Aylesbury College	21.76	General Further Education College
Aylesbury Grammar School	40.62	Academy converter - mainstream
Aylesbury High School	39.87	Academy converter - mainstream
The Aylesbury Vale Academy	21.27	Sponsored academy
The Mandeville School	7.83	Community school
The Misbourne School	29.27	Community school
Beaconsfield High School	40.62	Academy converter - mainstream
The Beaconsfield School	24.56	Academy converter - mainstream
Pipers Corner School	38.56	Independent school
Princes Risborough	26.61	Academy converter - mainstream
